Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
The Hanover Insurance Group,THG,5995.15,NYSE,12,Finance,Insurance - Property and Casualty,166.92,13.34,14.49,15.94
Thk Co.,THKLY,3487.96,OTC,12,Computer and Technology,Semiconductor - General,13.43,0.28,0.48,0.47
International Tower Hill Mines,THM,186.08,AMEX,12,Basic Materials,Mining - Gold,0.8951,-0.02,,
Thunder Mountain Gold,THMG,12.78,OTC,12,Basic Materials,Mining - Non Ferrous,0.21,-0.01,,
Thor Industries,THO,4569.65,NYSE,7,Construction,Building Products - Mobile Homes and RV Builders,85.89,4.94,3.73,4.66
Thermon,THR,902.33,NYSE,3,Computer and Technology,Instruments - Control,27.27,1.87,1.85,2.12
"Third Harmonic Bio, Inc.",THRD,247.3,NSDQ,12,Medical,Medical - Biomedical and Genetics,5.48,-1.09,-0.86,-0.94
Gentherm,THRM,846.79,NSDQ,12,Auto-Tires-Trucks,Automotive - Original Equipment,27.44,2.33,2.16,2.59
Thryv,THRY,559.41,NSDQ,12,Computer and Technology,Internet - Software,12.79,-2,1.3,1.05
TreeHouse Foods,THS,1032.22,NYSE,12,Consumer Staples,Food - Miscellaneous,20.44,1.91,1.8,2.07
Theratechnologies,THTX,114.95,NSDQ,11,Medical,Medical - Biomedical and Genetics,2.5,-0.1,-0.17,0.12
Thomasville Bancshares,THVB,471.09,OTC,12,Finance,Banks - Southeast,74.5,5.92,,
Acuren Corporation,TIC,1335.02,NYSE,12,Medical,Medical - Products,10.99,,,
Millicom International Cellular,TIGO,6365.84,NSDQ,12,Computer and Technology,Wireless Non-US ,36.99,1.48,2.68,3.12
UP Fintech Holding Limited,TIGR,1541.79,NSDQ,12,Finance,Financial - Investment Bank,8.35,0.42,0.58,0.55
TelInstrument Electronics,TIKK,11.04,OTC,3,Computer and Technology,Instruments - Scientific,3.39,0,,
Instil Bio,TIL,187.45,NSDQ,12,Medical,Medical - Biomedical and Genetics,28.58,-11.39,-7.71,-8.31
Till Capital,TILCF,4.18,OTC,12,Finance,Insurance - Brokerage,1.31,-0.66,,
Interface,TILE,1176.32,NSDQ,12,Consumer Discretionary,Textile - Home Furnishing,20.07,1.46,1.58,1.75
TIM,TIMB,9315.26,NYSE,12,Computer and Technology,Wireless Non-US ,19.24,1.21,1.37,1.57
Teijin,TINLY,1486.49,OTC,3,Consumer Discretionary,Textile - Apparel,7.715,-2.58,,
"Tingo Group, Inc.",TIOG,3.05,OTC,12,Business Services,Technology Services,0.0126,-0.21,,
,TIP,13746.6,NYSE,12,Finance,Financial - Investment Funds,109.1,,,
Tiptree Financial,TIPT,851.18,NSDQ,12,Finance,Insurance - Brokerage,22.7,2.53,,
Team,TISI,90.77,NYSE,12,Business Services,Building Products - Maintenance Service,20.2,-7.43,,
Titan Machinery,TITN,442.99,NSDQ,1,Retail-Wholesale,Automotive - Retail and Whole Sales,19.19,-1.63,-1.81,-0.42
Tivic Health Systems,TIVC,3.41,NSDQ,12,Medical,Medical Info Systems,3.88,-19.68,,
Telus Digital,TIXT,997.85,NYSE,12,Computer and Technology,Internet - Software,3.62,0.39,0.32,0.49
The TJX Companies,TJX,136889.5,NYSE,1,Retail-Wholesale,Retail - Discount Stores,122.54,4.26,4.46,4.92
Teekay Corporation Ltd.,TK,848.56,NYSE,12,Oils-Energy,Oil and Gas - Integrated - International,9.24,1.23,,
ThyssenKrupp,TKAMY,6318.38,OTC,9,Basic Materials,Steel - Producers,10.15,-2.62,,
