Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
"Badger Meter","BMI","5495.64","NYSE","12","Computer and Technology","Instruments - Control","186.49","4.23","4.72","5.21"
"Bimini Capital Management","BMNM","12.79","OTC","12","Finance","REIT and Equity Trust","1.27","-.13","",""
"BitMine Immersion Technologies, Inc.","BMNR","196.1","AMEX","8","Business Services","Technology Services","45.57","-.07","",""
"Bank Of Montreal","BMO","85390.17","NYSE","10","Finance","Banks - Foreign","119.2","7.11","8.42","9.45"
"Biomerica","BMRA","8.04","NSDQ","5","Medical","Medical - Drugs","3.16","-2.88","",""
"Bank of Marin Bancorp","BMRC","394.75","NSDQ","12","Finance","Banks - West","24.48",".9",".84","1.92"
"BioMarin Pharmaceutical","BMRN","11075.4","NSDQ","12","Medical","Medical - Biomedical and Genetics","57.68","3.52","4.41","5.47"
"B&M European Value Retail","BMRRY","3300.21","OTC","3","Consumer Discretionary","Consumer Products - Discretionary","13.19","1.71","1.73","1.86"
"Brookmount Explorations, Inc.","BMXI","6.02","OTC","11","Basic Materials","Mining - Gold",".024","","",""
"bioMerieux","BMXMF","17422.77","OTC","12","Medical","Medical Services","147.2","3.94","",""
"Bristol Myers Squibb","BMY","95421.23","NYSE","12","Medical","Medical - Biomedical and Genetics","46.88","1.15","6.5","6.07"
"Brookfield Corporation","BN","108454.44","NYSE","12","Finance","Real Estate - Operations","65.77","3.96","3.76","4.63"
"BRAND ENGAGEMNT","BNAI","13.48","NSDQ","12","Business Services","Technology Services",".3135","-.73","",""
"CEA Industries Inc.","BNC","17.92","NSDQ","12","Construction","Engineering - R and D Services","21.3","-4.22",".89","4.72"
"BNCCORP","BNCC","113.32","OTC","12","Finance","Banks - Midwest","31.96","2.23","",""
"Barnes & Noble Education","BNED","292.52","NYSE","4","Consumer Discretionary","Consumer Products - Discretionary","8.59","-13.49","",""
"Bonterra Energy","BNEFF","90.92","OTC","12","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","2.484",".2","",""
"Bion Environmental Technologies","BNET","9.01","OTC","6","Basic Materials","Fertilizers",".157","-.22","",""
"Bionano Genomics","BNGO","18.02","NSDQ","12","Medical","Medical - Biomedical and Genetics","3.85","-70.91","-6.47","-4.7"
"Broadstone Net Lease","BNL","3489.45","NYSE","12","Finance","REIT and Equity Trust - Residential","18.45","1.43","1.47","1.51"
